song_id,title,artist_genius_id,pseudonym,country,legal_status,period,release_date,reloc_date,total_words,pos_count,neg_count,tonal_count,sentiment_ratio,polarity,pos_ratio,neg_ratio,tonal_density
7403983,Вереница (String),23616,Noize MC,Литва,иноагент,before,2021-11-19,2022-03-01,249,1,0,1,0.004016064257028112,1.0,0.004016064257028112,0.0,0.004016064257028112
7403979,Столетняя война (Hundred Years War),23616,Noize MC,Литва,иноагент,before,2021-11-19,2022-03-01,77,3,2,5,0.012987012987012988,0.2,0.03896103896103896,0.025974025974025976,0.06493506493506493
7403982,Букет крапивы (Nettle Bouquet),23616,Noize MC,Литва,иноагент,before,2021-11-19,2022-03-01,261,3,2,5,0.0038314176245210726,0.2,0.011494252873563218,0.007662835249042145,0.019157088122605363
7325438,Трансгуманизм (Transhumanism),23616,Noize MC,Литва,иноагент,before,2021-11-12,2022-03-01,259,2,5,7,-0.011583011583011582,-0.42857142857142855,0.007722007722007722,0.019305019305019305,0.02702702702702703
7214581,Демка (Demo),23616,Noize MC,Литва,иноагент,before,2021-09-17,2022-03-01,398,0,11,11,-0.02763819095477387,-1.0,0.0,0.02763819095477387,0.02763819095477387
7084135,Моё море (Метал версия) (My Sea (Metal Version)) [Live @ ЦКиО],23616,Noize MC,Литва,иноагент,before,2021-06-06,2022-03-01,300,4,7,11,-0.01,-0.2727272727272727,0.013333333333333334,0.023333333333333334,0.03666666666666667
6656833,Закипает чайник (Kettle Is Boiling) (Bonus Track),23616,Noize MC,Литва,иноагент,before,2021-04-01,2022-03-01,443,6,5,11,0.002257336343115124,0.09090909090909091,0.013544018058690745,0.011286681715575621,0.024830699774266364
6375930,Век-волкодав (За гремучую доблесть грядущих веков) (Century-wolfhound),23616,Noize MC,Литва,иноагент,before,2021-01-14,2022-03-01,100,1,0,1,0.01,1.0,0.01,0.0,0.01
6191406,Поколение Х (Generation X),23616,Noize MC,Литва,иноагент,before,2020-11-20,2022-03-01,471,1,17,18,-0.03397027600849257,-0.8888888888888888,0.0021231422505307855,0.036093418259023353,0.03821656050955414
6163095,Вояджер-1 (Voyager 1),23616,Noize MC,Литва,иноагент,before,2020-11-13,2022-03-01,41,1,0,1,0.024390243902439025,1.0,0.024390243902439025,0.0,0.024390243902439025
6048299,Живи без остатка (Live without a trace),23616,Noize MC,Литва,иноагент,before,2020-10-15,2022-03-01,347,5,4,9,0.002881844380403458,0.1111111111111111,0.01440922190201729,0.011527377521613832,0.025936599423631124
6075700,Smoke on tha Water,23616,Noize MC,Литва,иноагент,before,2020-10-12,2022-03-01,234,4,7,11,-0.01282051282051282,-0.2727272727272727,0.017094017094017096,0.029914529914529916,0.04700854700854701
6014781,Коза (Goat),23616,Noize MC,Литва,иноагент,before,2020-10-02,2022-03-01,243,0,2,2,-0.00823045267489712,-1.0,0.0,0.00823045267489712,0.00823045267489712
5752552,Катацумури (Katatsumuri),23616,Noize MC,Литва,иноагент,before,2020-07-09,2022-03-01,180,0,3,3,-0.016666666666666666,-1.0,0.0,0.016666666666666666,0.016666666666666666
5707549,За гранью здравого смысла (Beyond Common Sense),23616,Noize MC,Литва,иноагент,before,2020-06-20,2022-03-01,345,1,6,7,-0.014492753623188406,-0.7142857142857143,0.002898550724637681,0.017391304347826087,0.020289855072463767
5637985,За гранью здравого смысла (8 раунд 17ib) (Beyond Common Sense),23616,Noize MC,Литва,иноагент,before,2020-06-10,2022-03-01,638,5,15,20,-0.01567398119122257,-0.5,0.007836990595611285,0.023510971786833857,0.03134796238244514
5633719,Давай сбежим (Let’s Run Away),23616,Noize MC,Литва,иноагент,before,2020-06-03,2022-03-01,496,4,6,10,-0.004032258064516129,-0.2,0.008064516129032258,0.012096774193548387,0.020161290322580645
5511352,Идеальный пациент (7 раунд 17ib) (A Perfect Patient),23616,Noize MC,Литва,иноагент,before,2020-05-21,2022-03-01,391,15,6,21,0.023017902813299233,0.42857142857142855,0.03836317135549872,0.015345268542199489,0.05370843989769821
5503170,26.04,23616,Noize MC,Литва,иноагент,before,2020-04-26,2022-03-01,372,4,9,13,-0.013440860215053764,-0.38461538461538464,0.010752688172043012,0.024193548387096774,0.03494623655913978
12825918,Дарвин (Darwin),23616,Noize MC,Литва,иноагент,before,2020-04-24,2022-03-01,1254,12,21,33,-0.007177033492822967,-0.2727272727272727,0.009569377990430622,0.01674641148325359,0.02631578947368421
5492659,Последний министр (из ”Последний министр”) (Last Minister (OST ”Last Minister”)),23616,Noize MC,Литва,иноагент,before,2020-04-24,2022-03-01,337,2,2,4,0.0,0.0,0.005934718100890208,0.005934718100890208,0.011869436201780416
5444950,ДАРВИН (DARWIN),23616,Noize MC,Литва,иноагент,before,2020-04-24,2022-03-01,1133,11,20,31,-0.00794351279788173,-0.2903225806451613,0.009708737864077669,0.0176522506619594,0.02736098852603707
5466838,Пропорции уязвимости (6 раунд 17ib) (Proportions of vulnerability),23616,Noize MC,Литва,иноагент,before,2020-04-16,2022-03-01,710,8,24,32,-0.022535211267605635,-0.5,0.011267605633802818,0.03380281690140845,0.04507042253521127
5389992,Плак-плак-плак (Live @ Мегаполис) (Plak-plak-plak (Live @ Megalopolis)),23616,Noize MC,Литва,иноагент,before,2020-03-14,2022-03-01,451,0,1,1,-0.0022172949002217295,-1.0,0.0,0.0022172949002217295,0.0022172949002217295
5383544,Кошка + Фристайл (Cat + Freestyle),23616,Noize MC,Литва,иноагент,before,2020-03-14,2022-03-01,338,3,1,4,0.005917159763313609,0.5,0.008875739644970414,0.0029585798816568047,0.011834319526627219
5389997,Моё море + Фристайл (Live @ Даниловский паб) (My Sea + Freestyle (Live @ Danilovsky pub)),23616,Noize MC,Литва,иноагент,before,2020-03-13,2022-03-01,767,5,9,14,-0.005215123859191656,-0.2857142857142857,0.00651890482398957,0.011734028683181226,0.018252933507170794
13558470,северная страна фристайл (north country freestyle),24422,Oxxxymiron,Великобритания,иноагент,after,2026-05-15,2022-02-01,386,4,4,8,0.0,0.0,0.010362694300518135,0.010362694300518135,0.02072538860103627
13380624,EXIT,24422,Oxxxymiron,Великобритания,иноагент,after,2026-04-10,2022-02-01,301,1,2,3,-0.0033222591362126247,-0.3333333333333333,0.0033222591362126247,0.006644518272425249,0.009966777408637873
13085661,Веган Блёвбургер (Instrumental) (Vegan Blewburger),24422,Oxxxymiron,Великобритания,иноагент,after,2026-02-06,2022-02-01,124,5,1,6,0.03225806451612903,0.6666666666666666,0.04032258064516129,0.008064516129032258,0.04838709677419355
13437838,ЛИРИЧЕСКАЯ (Snippet 19.04.2026)*,24422,Oxxxymiron,Великобритания,иноагент,after,2026-01-01,2022-02-01,30,2,8,10,-0.2,-0.6,0.06666666666666667,0.26666666666666666,0.3333333333333333
12842233,Как Мои Дела (How Am I Doing),24422,Oxxxymiron,Великобритания,иноагент,after,2025-12-16,2022-02-01,247,1,3,4,-0.008097165991902834,-0.5,0.004048582995951417,0.012145748987854251,0.016194331983805668
12842255,Русская Инородная Музыка (Russian Foreign Music),24422,Oxxxymiron,Великобритания,иноагент,after,2025-12-16,2022-02-01,281,0,1,1,-0.0035587188612099642,-1.0,0.0,0.0035587188612099642,0.0035587188612099642
12842250,Банк (Bank),24422,Oxxxymiron,Великобритания,иноагент,after,2025-12-16,2022-02-01,277,2,3,5,-0.0036101083032490976,-0.2,0.007220216606498195,0.010830324909747292,0.018050541516245487
12842244,Lost & Found,24422,Oxxxymiron,Великобритания,иноагент,after,2025-12-16,2022-02-01,351,3,9,12,-0.017094017094017096,-0.5,0.008547008547008548,0.02564102564102564,0.03418803418803419
12842251,Песнь Песней (Song of Songs),24422,Oxxxymiron,Великобритания,иноагент,after,2025-12-16,2022-02-01,224,3,2,5,0.004464285714285714,0.2,0.013392857142857142,0.008928571428571428,0.022321428571428572
12842260,Бог В Деталях (God In Details),24422,Oxxxymiron,Великобритания,иноагент,after,2025-12-16,2022-02-01,131,1,0,1,0.007633587786259542,1.0,0.007633587786259542,0.0,0.007633587786259542
12842239,Приключения (Adventures),24422,Oxxxymiron,Великобритания,иноагент,after,2025-12-16,2022-02-01,351,4,1,5,0.008547008547008548,0.6,0.011396011396011397,0.002849002849002849,0.014245014245014245
12842237,Vintage,24422,Oxxxymiron,Великобритания,иноагент,after,2025-12-16,2022-02-01,243,8,3,11,0.0205761316872428,0.45454545454545453,0.03292181069958848,0.012345679012345678,0.04526748971193416
