song_id,title,artist_genius_id,pseudonym,country,legal_status,period,release_date,compound,pos_prob,neg_prob,n_chunks
6375930,Век-волкодав (За гремучую доблесть грядущих веков) (Century-wolfhound),23616,Noize MC,Литва,иноагент,before,2021-01-14,0.0,0.14783123135566711,0.14783123135566711,1
6191406,Поколение Х (Generation X),23616,Noize MC,Литва,иноагент,before,2020-11-20,-0.1445022076368332,0.21391784399747849,0.3584200516343117,4
6163095,Вояджер-1 (Voyager 1),23616,Noize MC,Литва,иноагент,before,2020-11-13,0.8934921622276306,0.9289947748184204,0.035502612590789795,1
6048299,Живи без остатка (Live without a trace),23616,Noize MC,Литва,иноагент,before,2020-10-15,-0.29283754030863446,0.19126030802726746,0.4840978483359019,3
6075700,Smoke on tha Water,23616,Noize MC,Литва,иноагент,before,2020-10-12,-0.36678165197372437,0.2110727826754252,0.5778544346491495,3
6014781,Коза (Goat),23616,Noize MC,Литва,иноагент,before,2020-10-02,-0.6211925148963928,0.1262691617012024,0.7474616765975952,2
5752552,Катацумури (Katatsumuri),23616,Noize MC,Литва,иноагент,before,2020-07-09,0.0,0.16929221153259277,0.16929221153259277,2
5707549,За гранью здравого смысла (Beyond Common Sense),23616,Noize MC,Литва,иноагент,before,2020-06-20,-0.47516298294067383,0.17494567235310873,0.6501086552937826,3
5637985,За гранью здравого смысла (8 раунд 17ib) (Beyond Common Sense),23616,Noize MC,Литва,иноагент,before,2020-06-10,-0.6629877328872681,0.11233742237091064,0.7753251552581787,5
5633719,Давай сбежим (Let’s Run Away),23616,Noize MC,Литва,иноагент,before,2020-06-03,0.10863296687602997,0.35133540257811546,0.2427024357020855,4
5511352,Идеальный пациент (7 раунд 17ib) (A Perfect Patient),23616,Noize MC,Литва,иноагент,before,2020-05-21,-0.06817810734113057,0.3727468450864156,0.4409249524275462,3
5503170,26.04,23616,Noize MC,Литва,иноагент,before,2020-04-26,0.0,0.17157123486200967,0.17157123486200967,3
12825918,Дарвин (Darwin),23616,Noize MC,Литва,иноагент,before,2020-04-24,0.0007281780242919921,0.25601425766944885,0.25528607964515687,10
5492659,Последний министр (из ”Последний министр”) (Last Minister (OST ”Last Minister”)),23616,Noize MC,Литва,иноагент,before,2020-04-24,-0.10706703861554463,0.15603325764338175,0.2631002962589264,3
5444950,ДАРВИН (DARWIN),23616,Noize MC,Литва,иноагент,before,2020-04-24,-0.01094610161251492,0.28254852692286175,0.29349462853537667,9
