song_id,title,pseudonym,period,release_date,dominant_topic,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
11578429,Атлантида (Atlantis),Noize MC,after,2025-03-14,9,0.0008931545393729947,0.0008932595416767887,0.0008930039180971531,0.0008930491392883837,0.000892970751833201,0.0008929524721929828,0.0008929558529283455,0.0008930274040219213,0.0008929796087075207,0.9919626467718806
11591829,Зубная фея (Tooth Fairy),Noize MC,after,2025-03-14,4,0.18444107818274622,0.001190778466178041,0.0011908735445678705,0.0011909259600783745,0.7355285792940707,0.0011906946835580979,0.0011910310381534476,0.07169453433744319,0.0011906836990428226,0.0011908207941613799
11591917,Соловьи (Nightingales),Noize MC,after,2025-03-14,5,0.0010640662130165786,0.001063971229130114,0.3655382460645567,0.0010641506859051918,0.0010641426726974324,0.47890573579967255,0.0010639363990694246,0.14810787174775292,0.0010639754518758195,0.0010639037363232798
11587053,Причины для радости (Reasons To Be Happy),Noize MC,after,2025-03-14,7,0.001000178346955861,0.0010000408445910063,0.00100033632255606,0.0010001244108329911,0.0010000450283079625,0.001000031792854842,0.0010000227454503025,0.9909990035117489,0.0010001126430184,0.001000104353683661
11284702,Не все дома (Not All There),Noize MC,after,2025-03-14,3,0.000757718050681177,0.0007577011822681404,0.0007577237215720586,0.9602136303056272,0.0007576677712447108,0.033724753260839256,0.0007577044215355017,0.000757694017908431,0.0007577326935632549,0.0007576745747604377
11592182,Самка богомола (Female Praying Mantis),Noize MC,after,2025-03-14,0,0.9886066483707888,0.0012659077803330722,0.0012660172158337145,0.0012659245796793261,0.0012658679077324172,0.0012659425245727,0.001265850708425827,0.001265980145335203,0.0012660308339938612,0.0012658299333052046
11591835,Кооператив «Лебединое озеро» (Remix by ProtoCaryotes) (CSL),Noize MC,after,2025-03-14,2,0.0011112684444225356,0.0011111708827675109,0.9899989210922364,0.0011111969741925192,0.0011112959953485805,0.0011111664197714206,0.0011112502944355704,0.0011112191436917318,0.0011113802164914315,0.0011111305366421679
11204521,Обломки чувств (Fragments Of Feelings),Noize MC,after,2025-03-07,1,0.001123692838892712,0.9898868180288924,0.0011236946787644153,0.0011237741198044339,0.0011237639601513834,0.001123620675893405,0.0011236596523824336,0.0011236707526467485,0.0011236795977298997,0.0011236256948420787
11592298,Светлая полоса (One-Man Band Live - Light Stripe),Noize MC,after,2025-01-03,0,0.9904240289605312,0.0010638874499228135,0.0010639762166109973,0.0010639266242096117,0.0010640155725475883,0.0010641169896357045,0.001063921473161436,0.0010641841997933528,0.0010639478817553857,0.0010639946318319819
10947347,Светлая полоса (Light Stripe),Noize MC,after,2024-10-02,0,0.9884606524603916,0.0012821183948348897,0.001282145014780457,0.001282144914041294,0.0012822163581486512,0.0012821450850836684,0.0012821448622175123,0.001282166583823965,0.0012821585587052134,0.0012821077679727657
10385975,Voyager 1 (Live in New York),Noize MC,after,2024-05-07,0,0.9914271521696276,0.0009524565422726023,0.0009526743862744829,0.0009525053252593579,0.0009525767948784357,0.0009524620320951428,0.0009525571040131087,0.0009525992334247724,0.0009525475976613182,0.0009524688144932091
10207879,Памяти Алексея Навального (In Memory of Alexei Navalny),Noize MC,after,2024-03-26,2,0.08632507268909954,0.0002933292932797752,0.8679725006074676,0.0002933717804537225,0.04364912534176354,0.00029336064056478123,0.00029329716649510295,0.0002933142379754426,0.0002933295909977128,0.00029329865190283694
10088507,Open Air,Noize MC,after,2024-02-23,6,0.0010207271047058294,0.0010207322164309683,0.454796162927805,0.04257535020957936,0.001020606992423443,0.0010205301226671145,0.47231972447935355,0.001020527304591395,0.02418487373123916,0.0010207649112041963
